"Symbol","Name","Stock Exchange","RBICS Economy","Closing Price","Market Value","Sales","Price / Book Value"
"EH","EHang Holdings Ltd. Sponsored ADR Class A","NASDAQ","Industrials",15.22,966.557387367862,34.6200425504158,24.39485
"JL","J-Long Group Limited","NASDAQ","Consumer Cyclicals",0.3587,11.2631800892544,3.6268976291723,24.15459
"SPT","Sprout Social, Inc. Class A","NASDAQ","Technology",33.2,1895.73090588919,375.296,23.962
"SMMT","Summit Therapeutics Inc","NASDAQ","Healthcare",13.25,9600.12478637695,0,23.57085
"DXCM","DexCom, Inc.","NASDAQ","Healthcare",73.67,29521.5431114621,3934.8,23.11916
"DRCT","Direct Digital Holdings, Inc. Class A","NASDAQ","Business Services",3.19,45.766216191031,157.11,22.2355
"HCTI","Healthcare Triangle, Inc.","NASDAQ","Healthcare",0.5752,3.25953252217218,21.932,21.98462
"TZOO","Travelzoo","NASDAQ","Consumer Services",11.79,144.901359089272,84.874,21.78286
"CDNS","Cadence Design Systems, Inc.","NASDAQ","Technology",268.25,73452.2169647217,4161.501,21.73875
"HUMA","Humacyte, Inc.","NASDAQ","Healthcare",7.05,841.425472517229,0,21.7358
"ADP","Automatic Data Processing, Inc.","NASDAQ","Business Services",271.35,110655.229068269,19202.6,21.41995
"CCTG","CCSC Technology International Holdings Limited","NASDAQ","Technology",1.51,17.4876876775622,1.88491872735916,21.37382
"APPF","AppFolio Inc Class A","NASDAQ","Finance",234.05,8830.1020942983,722.075,20.8981
"PBPB","Potbelly Corp.","NASDAQ","Consumer Services",8,239.563095092773,477.366,20.82459
"GH","Guardant Health, Inc.","NASDAQ","Healthcare",26.74,3289.61037681074,643.81,20.73353
"PODD","Insulet Corporation","NASDAQ","Healthcare",180.69,12669.167362724,1872.7,20.70218
"FTDR","Frontdoor, Inc.","NASDAQ","Finance",48.49,3710.67451557462,1810,20.29772
"GLSI","Greenwich LifeSciences, Inc.","NASDAQ","Healthcare",14.62,192.174830038683,0,20.17219
"TRUG","TruGolf Holdings, Inc. Class A","NASDAQ","Technology",1.32,19.857822532658,"NA",20.13944
"DDOG","Datadog Inc Class A","NASDAQ","Technology",116.74,39359.1584408933,2393.717,19.8417
"DKNG","DraftKings, Inc. Class A","NASDAQ","Consumer Services",35.09,30828.1212530144,4300.251,19.82922
"AXSM","Axsome Therapeutics, Inc.","NASDAQ","Healthcare",88.51,4248.49799739881,291.489,19.73376
"QLYS","Qualys, Inc.","NASDAQ","Technology",125.14,4606.5310075006,580.853,19.67684
"GTLB","Gitlab, Inc. Class A","NASDAQ","Technology",47.3,7515.96973442078,622.215,19.61552
"NRC","National Research Corporation","NASDAQ","Business Services",22.01,525.40638924513,146.28,19.57185
"GNLX","Genelux Corp.","NASDAQ","Healthcare",2.17,74.941978762472,0.00800000000000001,19.27363
"IONS","Ionis Pharmaceuticals, Inc.","NASDAQ","Healthcare",46.8,6842.67890456307,813.46,18.88405
"TMDX","TransMedics Group, Inc.","NASDAQ","Healthcare",170.17,5676.76283522608,358.759,18.79496
"MRM","MEDIROM Healthcare Technologies, Inc. Sponsored ADR","NASDAQ","Consumer Non-Cyclicals",5.85,28.5626303843684,48.5584332018356,18.67085
"RRR","Red Rock Resorts, Inc. Class A","NASDAQ","Consumer Services",56,5913.85916828711,1849.62,18.59374
"ENPH","Enphase Energy, Inc.","NASDAQ","Technology",122.59,16601.4008306684,1420.449,18.2329
"NTAP","NetApp, Inc.","NASDAQ","Technology",132.5,27237.3143005371,6269,18.21463
"CRVL","CorVel Corporation","NASDAQ","Healthcare",312.58,5354.86812823563,816.78,18.18804
"SHOT","Safety Shot, Inc.","NASDAQ","Consumer Non-Cyclicals",0.9055,47.1004866770859,-2.403292,18.16676
"BSY","Bentley Systems, Incorporated Class B","NASDAQ","Technology",50.86,15367.752366543,1285.353,17.50202
"LQDA","Liquidia Corporation","NASDAQ","Healthcare",9.83,754.882001663689,14.84,17.4573
"CDIO","Cardio Diagnostics Holdings Inc.","NASDAQ","Healthcare",0.41,9.81640345594008,0.039138,17.29047
"BLBD","Blue Bird Corporation","NASDAQ","Industrials",49.6,1604.83990424249,1299.905,17.169
"BLEU","bleuacacia Ltd. Class A","NASDAQ","Finance",10.855,82.0145796979202,0,17.01747
"ADBE","Adobe Inc.","NASDAQ","Technology",559.44,248055.693667969,20419,16.87092
"MEDP","Medpace Holdings, Inc.","NASDAQ","Healthcare",385.3,11944.9786704802,2030.048,16.82595
"NEOV","NeoVolta Inc","NASDAQ","Industrials",2.67,88.7403671444772,2.78772,16.79229
"AEAE","AltEnergy Acquisition Corp. Class A","NASDAQ","Finance",11.93,77.4035817110125,0,16.50125
"VERX","Vertex, Inc. Class A","NASDAQ","Technology",37.58,5844.49898416538,617.826,16.36218
"LRCX","Lam Research Corporation","NASDAQ","Technology",818.91,107065.106599668,14905.386,16.25771
"TTD","Trade Desk, Inc. Class A","NASDAQ","Consumer Services",103.97,50854.548290995,2174.866,16.25638
"LWLG","Lightwave Logic, Inc.","NASDAQ","Non-Energy Materials",2.91,351.284645981286,0.090274,16.14786
"TGTX","TG Therapeutics, Inc.","NASDAQ","Healthcare",23.97,3711.11044865355,346.724,16.11397
"RYTM","Rhythm Pharmaceuticals, Inc.","NASDAQ","Healthcare",50,3056.68830871582,101.782,16.09245
"CTAS","Cintas Corporation","NASDAQ","Business Services",793.66,79976.2651092024,9596.615,15.90359
"CVLT","Commvault Systems, Inc.","NASDAQ","Technology",151.88,6639.18298733933,865.769,15.8839
"BCSA","Blockchain Coinvestors Acquisition Corp. I Class A","NASDAQ","Finance",11.205,144.551761167477,0,15.86285
"IRTC","iRhythm Technologies, Inc.","NASDAQ","Healthcare",69.81,2180.59028092923,537.091,15.77042
"ISPR","Ispire Technology, Inc.","NASDAQ","Consumer Non-Cyclicals",7.39,418.5772839644,147.194034,15.76137
"VRCA","Verrica Pharmaceuticals Inc.","NASDAQ","Healthcare",2.57,109.65818661995,13.908,15.7095
"TENB","Tenable Holdings, Inc.","NASDAQ","Technology",41.4,4931.17189500493,852.037,15.57939
"VSME","VS Media Holdings Limited Class A","NASDAQ","Business Services",0.99,4.91775468079976,1.02071296210977,15.48546
"AVDL","Avadel Pharmaceuticals plc","NASDAQ","Healthcare",16.46,1584.61284719495,94.8637476976075,15.30059
"PLSE","Pulse Biosciences, Inc.","NASDAQ","Healthcare",20.53,1258.28979119207,0,15.21555
"WVE","Wave Life Sciences Ltd.","NASDAQ","Healthcare",5.77,719.73745924496,110.44208197478,15.18477
"LFCR","Lifecore Biomedical, Inc.","NASDAQ","Healthcare",6.34,195.714141253622,128.261,15.18016
"LILM","Lilium N.V. Class A","NASDAQ","Industrials",0.7668,477.092545469797,0,15.1788
"QSG","Quantasing Group Ltd. ADR","NASDAQ","Consumer Non-Cyclicals",1.73,95.5066445896405,-1389.19113673965,15.13033
"SAGA","Sagaliam Acquisition Corp. Class A","NASDAQ","Finance","NA","NA",0,15.07353
"CDW","CDW Corporation","NASDAQ","Technology",229.31,30630.2116868272,20942.9,14.92466
"MDXH","MDxHealth S.A.","NASDAQ","Healthcare",2.77,75.5880186598188,80.3475125294826,14.91633
"MPWR","Monolithic Power Systems, Inc.","NASDAQ","Technology",912.25,44474.0109977722,1894.195,14.77854
"SLXN","Silexion Therapeutics Corp","NASDAQ","Non-Energy Materials",1.65,5.68049103649364,0,14.7718
"BLTE","Belite Bio, Inc. ADR","NASDAQ","Healthcare",49,1500.005591,0,14.74703
"BL","BlackLine, Inc.","NASDAQ","Technology",50.25,3124.29812049866,624.405,14.72319
"DUOL","Duolingo, Inc. Class A","NASDAQ","Technology",209.99,9147.09580680393,634.489,14.71703
"ASNS","Actelis Networks, Inc.","NASDAQ","Technology",1.64,9.86677447295676,6.019,14.70975
"AIP","Arteris, Inc.","NASDAQ","Technology",8.25,323.871603012085,53.3,14.63172
"NVFY","Nova Lifestyle, Inc.","NASDAQ","Consumer Cyclicals",1.35,4.16439253293836,9.815391,14.56555
"AVGO","Broadcom Inc.","NASDAQ","Technology",159.62,743012.449741781,42619,14.46895
"RARE","Ultragenyx Pharmaceutical, Inc.","NASDAQ","Healthcare",57.05,5258.02367808137,481.303,14.29075
"LCA","Landcadia Holdings IV, Inc. Class A","NASDAQ","Finance","NA","NA",0,14.28775
"LULU","lululemon athletica inc.","NASDAQ","Consumer Cyclicals",271.66,35347.9645628774,9827.377,14.25727
"OPTX","Syntec Optics Holdings, Inc. Class A","NASDAQ","Industrials",1.53,56.1330470841904,42.703088,14.12644
"HPH","Highest Performances Holdings Inc. Sponsored ADR","NASDAQ","Finance",1.9599,527.456044551639,11.5397956582949,14.09085
"WLGS","Wang & Lee Group, Inc.","NASDAQ","Industrials",0.542571,8.18948341614004,0.871877533438481,14.02511
"NPCE","NeuroPace, Inc.","NASDAQ","Healthcare",8.14,237.663469916262,71.819,13.88889
"RDHL","RedHill Biopharma Ltd. Sponsored ADR","NASDAQ","Healthcare",8.43,10.7455509344014,6.513173351933,13.88334
"WDFC","WD-40 Company","NASDAQ","Non-Energy Materials",256.07,3469.35181107721,575.018,13.86622
"LSCC","Lattice Semiconductor Corporation","NASDAQ","Technology",46.99,6473.91741554177,627.656,13.69192
"MLEC","Moolec Science SA","NASDAQ","Non-Energy Materials",0.847,31.8165135466493,5.007071,13.67877
"EXPE","Expedia Group, Inc.","NASDAQ","Consumer Services",137.12,17850.2055798931,13263,13.56072
"APLD","Applied Digital Corporation","NASDAQ","Technology",4.92,721.039164013113,143.914,13.49021
"KA","Kineta, Inc.","NASDAQ","Healthcare",0.6379,7.82155139740792,0,13.05943
"ZEO","Zeo Energy Corp. Class A","NASDAQ","Industrials",2.2517,92.3992833686511,34.575616,13.05895
"BPTH","Bio-Path Holdings, Inc.","NASDAQ","Healthcare",1.18,3.01158386195141,0,12.97664
"WEN","Wendy's Company","NASDAQ","Consumer Services",16.95,3444.96402682702,2196.686,12.91606
"AIRT","Air T, Inc.","NASDAQ","Industrials",22.74,62.7634726358306,281.814,12.91584
"APEN","Apollo Endosurgery, Inc.","NASDAQ","Healthcare","NA","NA",76.856,12.84215
"SCWO","374Water Inc","NASDAQ","Industrials",1.06,140.689194370709,0.24473,12.77438
"ONYX","Onyx Acquisition Co. I Class A","NASDAQ","Finance",11.315,89.9028855767224,0,12.76398
"KIRK","Kirkland's, Inc.","NASDAQ","Consumer Cyclicals",1.61,20.9927541595313,463.568,12.74412
"AUUD","Auddia Inc.","NASDAQ","Technology",1.01,2.82213806348614,0,12.69809
"MOVE","Movano, Inc.","NASDAQ","Technology",0.3401,33.6523792471125,0.852,12.6522
"TSLA","Tesla, Inc.","NASDAQ","Consumer Cyclicals",213.21,681129.297051419,95318,12.63545
"LZ","LegalZoom.com, Inc.","NASDAQ","Consumer Non-Cyclicals",6.55,1150.25833046187,677.513,12.61879
"PEP","PepsiCo, Inc.","NASDAQ","Consumer Non-Cyclicals",175.97,241707.534739468,92048,12.61202
"ANL","Adlai Nortye Ltd. Sponsored ADR","NASDAQ","Healthcare",2.91,322.139352051526,4.995653665311,12.53346
"EXPO","Exponent, Inc.","NASDAQ","Business Services",106.33,5394.19273838319,541.705,12.50389
"AFRI","Forafric Global PLC","NASDAQ","Consumer Non-Cyclicals",11.25,302.391021251678,305.476,12.48747
"MSFT","Microsoft Corporation","NASDAQ","Technology",413.49,3073487.04746544,245122,12.37583
"SYRS","Syros Pharmaceuticals, Inc.","NASDAQ","Healthcare",1.67,44.636323716378,4.149,12.36567
"CLOE","Clover Leaf Capital Corp. Class A","NASDAQ","Finance",12.1,60.0721827732342,0,12.28535
"AUGX","Augmedix Inc","NASDAQ","Healthcare",2.3,113.2606349352,51.583,12.19461
"BRZE","Braze, Inc. Class A","NASDAQ","Technology",45.88,4662.63704420289,505.479,12.19265
"QXO","QXO, Inc.","NASDAQ","Technology",14.755,6041.14229050791,57.106932,12.17106
"AXON","Axon Enterprise Inc","NASDAQ","Industrials",360.49,27243.7933842838,1810.578,12.06713
"HAIA","Healthcare AI Acquisition Corp. Class A","NASDAQ","Finance",11.365,67.9905543411045,0,11.98417
"ACAD","ACADIA Pharmaceuticals Inc.","NASDAQ","Healthcare",16.09,2668.94571577088,890.534,11.94008
"NVCT","Nuvectis Pharma, Inc.","NASDAQ","Healthcare",6.94,129.449649352227,0,11.90663
"DMRC","Digimarc Corporation","NASDAQ","Technology",28.46,609.630987430763,38.595,11.89602
"YHGJ","Yunhong Green CTI Ltd.","NASDAQ","Consumer Cyclicals",0.9499,19.7312636216345,17.804,11.8957
"ACXP","Acurx Pharmaceuticals LLC","NASDAQ","Healthcare",2.2,35.7392166254567,0,11.87413
"CYBR","CyberArk Software Ltd.","NASDAQ","Technology",280.5,12102.6445083618,860.596,11.6821
"ITCI","Intra-Cellular Therapies, Inc.","NASDAQ","Healthcare",74.49,7871.12890749559,564.526,11.67136
"POOL","Pool Corporation","NASDAQ","Industrials",356.62,13643.5430792612,5368.051,11.64885
"SNPS","Synopsys, Inc.","NASDAQ","Technology",525.91,80786.6121713426,6091.257,11.61155
"NVAC","NorthView Acquisition Corp.","NASDAQ","Finance",11.8,71.121188836521,0,11.61145
"TGAN","Transphorm Inc","NASDAQ","Technology","NA","NA",18.755,11.60423
"FNGR","FingerMotion Inc","NASDAQ","Telecommunications",2.55,134.417771305425,31.996577,11.59055
"QUIK","QuickLogic Corporation","NASDAQ","Technology",9.23,133.517569529064,24.278,11.58185
"PEGA","Pegasystems Inc.","NASDAQ","Technology",68.75,5871.91309928894,1490.176,11.5771
"DLO","DLocal Limited Class A","NASDAQ","Finance",8.53,2526.28582033806,697.493999999993,11.50711
"CETY","Clean Energy Technologies, Inc.","NASDAQ","Industrials",1.08,48.1424941310283,9.126213,11.49337
"CERE","Cerevel Therapeutics Holdings Inc","NASDAQ","Healthcare","NA","NA",0,11.41344
"PAYX","Paychex, Inc.","NASDAQ","Business Services",130.19,46884.9209603928,5278.3,11.38375
"MDGL","Madrigal Pharmaceuticals, Inc.","NASDAQ","Healthcare",255.8,5554.10284336144,14.638,11.34567
"MNDY","monday.com Ltd.","NASDAQ","Technology",263.36,13130.8085506526,846.496970834468,11.29478
"ATPC","Agape ATP Corp.","NASDAQ","Healthcare",0.101,7.7744936102352,1.378067,11.27581
"CHDN","Churchill Downs Incorporated","NASDAQ","Consumer Services",136.57,10026.5028956598,2615.3,11.2492
"DOCU","DocuSign, Inc.","NASDAQ","Technology",58.72,12020.9445785112,2810.134,11.07199
"LYFT","Lyft, Inc. Class A","NASDAQ","Industrials",11.78,4753.03707638997,5095.182,11.06722
"FAST","Fastenal Company","NASDAQ","Industrials",67.93,38899.8509816425,7415.8,11.06285
"NWTN","NWTN, Inc. Class B","NASDAQ","Consumer Cyclicals",0.96,274.738102677875,0,10.91323
"HOUR","Hour Loop, Inc.","NASDAQ","Consumer Non-Cyclicals",1.33,46.7262007341019,141.390974,10.90444
"TSCO","Tractor Supply Company","NASDAQ","Consumer Cyclicals",272.82,29428.7868845682,14713.277,10.8003
"MARPS","Marine Petroleum Trust","NASDAQ","Finance",4.115,8.22999954223633,1.127916,10.79556
"APP","AppLovin Corp. Class A","NASDAQ","Technology",89.89,30045.6070911594,3955.751,10.78099
"SHC","Sotera Health Company","NASDAQ","Healthcare",15.62,4423.80820001056,1098.186,10.73994
"FIVN","Five9, Inc.","NASDAQ","Technology",33.64,2514.12233292474,968.263,10.72194
"ULTA","Ulta Beauty Inc.","NASDAQ","Consumer Non-Cyclicals",374.98,17892.6819468045,11298.888,10.71349
"NSSC","NAPCO Security Technologies, Inc.","NASDAQ","Technology",47.38,1747.02584184395,188.82,10.70847
"SPSC","SPS Commerce, Inc.","NASDAQ","Technology",198.4,7359.81376284279,583.798,10.69283
"LIXT","Lixte Biotechnology Holdings, Inc.","NASDAQ","Healthcare",2.0001,4.49880467713012,0,10.68376
"EPOW","Sunrise New Energy Co., Ltd Class A","NASDAQ","Non-Energy Materials",1.0398,27.181776765724,45.0504050000114,10.67405
"ABNB","Airbnb, Inc. Class A","NASDAQ","Consumer Services",115.71,74366.8623170468,10505,10.63776
"ARWR","Arrowhead Pharmaceuticals, Inc.","NASDAQ","Healthcare",24.7,3070.58743920538,19.648,10.62669
"AIHS","Senmiao Technology Ltd.","NASDAQ","Finance",1.16,12.2009257048308,5.84211400000534,10.57946
"APCX","Apptech Payments Corp","NASDAQ","Finance",0.82,20.3723393379856,0.462,10.55815
"LOOP","Loop Industries, Inc.","NASDAQ","Non-Energy Materials",1.62,77.1448249035848,0.132,10.55285
"SWAV","Shockwave Medical Inc","NASDAQ","Healthcare","NA","NA",787.969,10.54163
"EYEN","Eyenovia, Inc.","NASDAQ","Healthcare",0.5304,40.7927648120631,0.031405,10.52898
"SRPT","Sarepta Therapeutics, Inc.","NASDAQ","Healthcare",140.35,13384.6654197164,1504.993,10.51806
"CWD","CaliberCos, Inc. Class A","NASDAQ","Finance",0.6111,13.4717312552391,70.761,10.46993
"NUVO","Holdco Nuvo Group D.G Ltd.","NASDAQ","Healthcare",0.2326,7.73663685589281,0,10.40096
"NUKK","Nukkleus Inc.","NASDAQ","Business Services",0.3301,5.54302780487137,0,10.38423
"ODFL","Old Dominion Freight Line, Inc.","NASDAQ","Industrials",199.12,42670.7258603685,5969.597,10.37317
"ALHC","Alignment Healthcare, Inc.","NASDAQ","Healthcare",9.42,1802.04561212921,2231.983,10.36588
"OMH","Ohmyhome Limited","NASDAQ","Finance",0.4598,10.4728368454362,3.7259321379784,10.33156
"MACK","Merrimack Pharmaceuticals, Inc.","NASDAQ","Healthcare","NA","NA",0,10.26548
"BIVI","BioVie Inc. Class A","NASDAQ","Healthcare",3,18.3496570587158,0,10.23505
"NFLX","Netflix, Inc.","NASDAQ","Technology",688.44,295454.086406652,36282.183,10.23406
"VRNS","Varonis Systems, Inc.","NASDAQ","Technology",57.54,6454.81537049526,520.775,10.08933
"ATOM","Atomera Incorporated","NASDAQ","Non-Energy Materials",2.96,82.3011364671493,0.64,10.07213
"AUTL","Autolus Therapeutics Plc Sponsored ADR","NASDAQ","Healthcare",3.97,1056.16343577135,10.4969999999996,10.0581
"REBN","Reborn Coffee, Inc.","NASDAQ","Consumer Services",3.69,13.8467623759752,5.757858,10.05225
"EAC","Edify Acquisition Corp. Class A","NASDAQ","Finance","NA","NA",0,9.928624
"ROST","Ross Stores, Inc.","NASDAQ","Consumer Non-Cyclicals",154.21,51440.5907536768,21092.936,9.885914
"EXPI","eXp World Holdings, Inc.","NASDAQ","Finance",13.41,2061.5644403483,4435.86,9.884973
"ARRY","Array Technologies Inc","NASDAQ","Industrials",6.89,1046.77302811651,1101.222,9.80089
"NTRA","Natera, Inc.","NASDAQ","Healthcare",118.11,14608.0134186898,1360.503,9.787393
"AGYS","Agilysys, Inc.","NASDAQ","Consumer Services",112.69,3142.00437480689,244.917,9.754753
"DSKE","Daseke, Inc.","NASDAQ","Industrials","NA","NA",1569.4,9.721322
"ALTR","Altair Engineering Inc. Class A","NASDAQ","Technology",90.15,7652.49016878858,627.213,9.706946
"ATIF","ATIF Holdings Ltd.","NASDAQ","Business Services",0.7413,8.83440690587918,0.5,9.694164
"LINK","Interlink Electronics, Inc.","NASDAQ","Technology",3.945,38.914323348527,12.635,9.666224
"LNW","Light & Wonder, Inc.","NASDAQ","Consumer Services",107.81,9565.3530361806,3077,9.66
"ADSE","ADS-TEC Energy Public Limited Company","NASDAQ","Industrials",12.45,629.780284388587,116.094517912078,9.652901
"REFR","Research Frontiers Incorporated","NASDAQ","Non-Energy Materials",2.32,77.7612569177199,1.279355,9.62088
"COST","Costco Wholesale Corporation","NASDAQ","Consumer Non-Cyclicals",892.51,395680.944790259,253695,9.617291
"KRTX","Karuna Therapeutics, Inc.","NASDAQ","Healthcare","NA","NA",0.654,9.60898
"CYTH","Cyclo Therapeutics Inc","NASDAQ","Healthcare",0.8277,23.7517027152837,1.13243,9.544964
"WDAY","Workday, Inc. Class A","NASDAQ","Technology",260.37,68998.0487060547,7834.514,9.502884
"LECO","Lincoln Electric Holdings, Inc.","NASDAQ","Industrials",198.05,11224.5343904122,4091.202,9.466282
"AEYE","AudioEye, Inc.","NASDAQ","Technology",25,296.97790145874,32.261,9.463778
"BASE","Couchbase, Inc.","NASDAQ","Technology",18.71,941.297795698658,190.368,9.407975
"ERIE","Erie Indemnity Company Class A","NASDAQ","Finance",485.63,22615.9679618134,3542.819,9.379973
"QTI","QT Imaging Holdings, Inc.","NASDAQ","Healthcare",0.639,13.7010646570567,3.076198,9.353012
"ODD","ODDITY Tech Ltd. Class A","NASDAQ","Consumer Non-Cyclicals",37.29,2120.5583794278,148.815286160413,9.34632
"IMCR","Immunocore Holdings Plc Shs Sponsored American Depositary Shares Repr 1 Sh","NASDAQ","Healthcare",36.9,1845.64973772081,282.161009524528,9.264232
"SKYX","SKYX Platforms Corp.","NASDAQ","Industrials",0.9151,92.9645426697516,84.215651,9.219245
"MORN","Morningstar, Inc.","NASDAQ","Technology",311.23,13332.6983644697,2176.2,9.211112
"CBAY","CymaBay Therapeutics, Inc.","NASDAQ","Healthcare","NA","NA",31.073,9.202514
"KLTR","Kaltura, Inc.","NASDAQ","Technology",1.28,190.710952768528,176.832,9.170429
"TXN","Texas Instruments Incorporated","NASDAQ","Technology",208.25,190141.821060181,16092,9.170156
"BRFH","Barfresh Food Group Inc.","NASDAQ","Consumer Non-Cyclicals",3.415,50.358176651147,8.818,9.160042
"INOD","Innodata Inc.","NASDAQ","Technology",18.89,547.599207884923,107.338,9.10596
